MUNICIPIO,CANTIDAD
AHUACHAPAN,25
APANECA,2
ATIQUIZAYA,4
CONCEPCION DE ATACO,5
EL REFUGIO,1
GUAYMANGO,1
JUJUTLA,1
SAN FRANCISCO MENENDEZ,5
SAN LORENZO,4
SAN PEDRO PUXTLA,2
TACUBA,4
TURIN,2
DOLORES,2
GUACOTECTI,3
ILOBASCO,23
JUTIAPA,3
SAN ISIDRO,3
SENSUNTEPEQUE,17
TEJUTEPEQUE,3
VICTORIA,3
ARCATAO,2
AZACUALPA,2
CHALATENANGO,12
CONCEPCION QUEZALTEPEQUE,4
DULCE NOMBRE DE MARIA,1
EL CARRIZAL,1
EL PARAISO,7
LA LAGUNA,2
LA PALMA,3
LA REINA,1
LAS VUELTAS,1
NOMBRE DE JESUS,1
NUEVA CONCEPCION,8
NUEVA TRINIDAD,2
SAN ANTONIO LOS RANCHOS,1
SAN FRANCISCO MORAZAN,4
SAN IGNACIO,2
SAN JOSE LAS FLORES,1
SAN MIGUEL DE MERCEDES,1
SANTA RITA,2
TEJUTLA,4
CANDELARIA,2
COJUTEPEQUE,15
EL CARMEN,4
MONTE SAN JUAN,1
SAN BARTOLOME PERULAPIA,2
SAN CRISTOBAL,2
SAN JOSE GUAYABAL,3
SAN PEDRO PERULAPAN,9
SAN RAFAEL CEDROS,5
SAN RAMON,3
SANTA CRUZ ANALQUITO,5
SANTA CRUZ MICHAPA,8
SUCHITOTO,7
TENANCINGO,3
ANTIGUO CUSCATLAN,3
CHILTIUPAN,1
CIUDAD ARCE,5
COLON,16
COMASAGUA,3
JAYAQUE,1
JICALAPA,5
LA LIBERTAD,15
NUEVO CUSCATLAN,1
QUEZALTEPEQUE,11
SACACOYO,2
SAN JOSE VILLANUEVA,2
SAN JUAN OPICO,9
SAN MATIAS,3
SANTA TECLA,25
TALNIQUE,1
TAMANIQUE,4
TEOTEPEQUE,3
TEPECOYO,2
ZARAGOZA,6
EL ROSARIO,1
JERUSALEN,1
OLOCUILTA,9
SAN JUAN NONUALCO,5
SAN JUAN TALPA,1
SAN JUAN TEPEZONTES,1
SAN LUIS LA HERRADURA,4
SAN LUIS TALPA,8
SAN PEDRO MASAHUAT,5
SAN PEDRO NONUALCO,4
SAN RAFAEL OBRAJUELO,2
SANTA MARIA OSTUMA,2
SANTIAGO NONUALCO,13
TAPALHUACA,2
ZACATECOLUCA,11
ANAMOROS,3
CONCEPCION DE ORIENTE,2
CONCHAGUA,6
EL CARMEN,7
INTIPUCA,3
LA UNION,14
LISLIQUE,2
MEANGUERA DEL GOLFO,1
NUEVA ESPARTA,4
PASAQUINA,2
POLOROS,4
SAN ALEJO,2
SAN JOSE LAS FUENTES,1
SANTA ROSA DE LIMA,7
YAYANTIQUE,3
YUCUAIQUIN,1
ARAMBALA,2
CACAOPERA,3
CHILANGA,2
CORINTO,1
DELICIAS DE CONCEPCION,1
EL DIVISADERO,2
GUATAJIAGUA,3
JOATECA,1
JOCOAITIQUE,1
JOCORO,1
LOLOTIQUILLO,1
MEANGUERA,2
OSICALA,2
SAN CARLOS,2
SAN FRANCISCO GOTERA,8
SAN SIMON,1
YAMABAL,1
CHINAMECA,5
CHIRILAGUA,3
CIUDAD BARRIOS,3
EL TRANSITO,5
LOLOTIQUE,3
MONCAGUA,5
NUEVA GUADALUPE,1
QUELEPA,4
SAN GERARDO,1
SAN JORGE,4
SAN LUIS DE LA REINA,1
SAN MIGUEL,69
SAN RAFAEL ORIENTE,1
ULUAZAPA,2
AGUILARES,3
APOPA,19
AYUTUXTEPEQUE,7
CIUDAD DELGADO,34
CUSCATANCINGO,15
EL PAISNAL,5
GUAZAPA,6
ILOPANGO,5
MEJICANOS,17
NEJAPA,7
PANCHIMALCO,4
SAN MARCOS,10
SAN MARTIN,9
SAN SALVADOR,70
SANTIAGO TEXACUANGOS,5
SANTO TOMAS,2
SOYAPANGO,12
TONACATEPEQUE,12
APASTEPEQUE,7
GUADALUPE,1
SAN CAYETANO ISTEPEQUE,2
SAN ESTEBAN CATARINA,2
SAN ILDEFONSO,10
SAN SEBASTIAN,5
SAN VICENTE,22
SANTA CLARA,2
SANTO DOMINGO,3
TECOLUCA,6
TEPETITAN,1
VERAPAZ,2
CANDELARIA DE LA FRONTERA,6
CHALCHUAPA,22
COATEPEQUE,3
EL CONGO,9
EL PORVENIR,4
MASAHUAT,2
METAPAN,34
SAN ANTONIO PAJONAL,1
SAN SEBASTIAN SALITRILLO,10
SANTA ANA,32
SANTA ROSA GUACHIPILIN,1
TEXISTEPEQUE,4
ACAJUTLA,6
ARMENIA,4
CALUCO,1
IZALCO,7
JUAYUA,3
NAHUIZALCO,12
NAHULINGO,2
SALCOATITAN,1
SAN ANTONIO DEL MONTE,6
SAN JULIAN,1
SANTA CATARINA MASAHUAT,2
SANTA ISABEL ISHUATAN,2
SONSONATE,17
SONZACATE,1
ALEGRIA,2
BERLIN,6
CALIFORNIA,1
CONCEPCION BATRES,3
EREGUAYQUIN,1
ESTANZUELAS,1
JIQUILISCO,11
JUCUAPA,4
JUCUARAN,3
MERCEDES UMAÑA,3
NUEVA GRANADA,3
OZATLAN,2
SAN AGUSTIN,3
SAN DIONISIO,1
SAN FRANCISCO JAVIER,1
SANTA ELENA,7
SANTA MARIA,1
SANTIAGO DE MARIA,4
TECAPAN,2
USULUTAN,16
