MUNICIPIO,CANTIDAD
ACAJUTLA,9
AGUILARES,5
AHUACHAPAN,23
ANTIGUO CUSCATLAN,10
APANECA,1
APASTEPEQUE,3
APOPA,40
ARMENIA,9
ATIQUIZAYA,3
AYUTUXTEPEQUE,15
BERLIN,2
CALUCO,1
CANDELARIA,2
CAROLINA,2
CHALATENANGO,6
CHALCHUAPA,12
CHAPELTIQUE,2
CHILANGA,1
CHINAMECA,3
CHIRILAGUA,3
CIUDAD ARCE,14
CIUDAD BARRIOS,4
CIUDAD DELGADO,23
COATEPEQUE,3
COJUTEPEQUE,11
COLON,22
COMALAPA,1
COMASAGUA,2
CONCEPCION BATRES,2
CONCEPCION DE ATACO,4
CONCEPCION QUEZALTEPEQUE,3
CONCHAGUA,8
CUISNAHUAT,1
CUSCATANCINGO,15
CUYULTITAN,1
DOLORES,1
EL CARMEN,2
EL CARRIZAL,1
EL CONGO,4
EL DIVISADERO,1
EL PAISNAL,3
EL PARAISO,1
EL PORVENIR,2
EL REFUGIO,2
EL ROSARIO,4
EL SAUCE,1
EL TRANSITO,5
EL TRIUNFO,1
EREGUAYQUIN,2
GUACOTECTI,3
GUATAJIAGUA,1
GUAZAPA,4
HUIZUCAR,1
ILOBASCO,8
ILOPANGO,17
INTIPUCA,5
IZALCO,14
JICALAPA,1
JIQUILISCO,8
JOATECA,1
JUAYUA,2
JUCUAPA,4
JUJUTLA,1
LA LIBERTAD,9
LA REINA,1
LA UNION,7
LISLIQUE,1
LOLOTIQUE,2
MEJICANOS,44
MERCEDES UMAÑA,4
METAPAN,1
MONCAGUA,3
NAHUIZALCO,14
NAHULINGO,1
NEJAPA,4
NUEVA CONCEPCION,2
NUEVA ESPARTA,1
NUEVA GUADALUPE,2
NUEVO CUSCATLAN,1
NUEVO EDEN DE SAN JUAN,1
OLOCUILTA,6
ORATORIO DE CONCEPCION,1
PANCHIMALCO,8
PASAQUINA,1
PERQUIN,1
POLOROS,1
PUERTO EL TRIUNFO,1
QUELEPA,2
QUEZALTEPEQUE,20
SALCOATITAN,2
SAN ALEJO,2
SAN ANTONIO DEL MONTE,4
SAN BARTOLOME PERULAPIA,2
SAN CAYETANO ISTEPEQUE,2
SAN CRISTOBAL,1
SAN FRANCISCO CHINAMECA,1
SAN FRANCISCO GOTERA,3
SAN FRANCISCO JAVIER,1
SAN FRANCISCO MENENDEZ,1
SAN GERARDO,1
SAN ILDEFONSO,1
SAN ISIDRO,1
SAN JOSE GUAYABAL,2
SAN JOSE LAS FUENTES,2
SAN JOSE VILLANUEVA,3
SAN JUAN NONUALCO,4
SAN JUAN OPICO,9
SAN JUAN TALPA,2
SAN JULIAN,8
SAN LORENZO,1
SAN LUIS LA HERRADURA,6
SAN LUIS TALPA,2
SAN MARCOS,9
SAN MARTIN,24
SAN MIGUEL,68
SAN PABLO TACACHICO,3
SAN PEDRO MASAHUAT,2
SAN PEDRO PERULAPAN,8
SAN PEDRO PUXTLA,1
SAN RAFAEL CEDROS,4
SAN RAFAEL ORIENTE,1
SAN RAMON,3
SAN SALVADOR,104
SAN SEBASTIAN,1
SAN SEBASTIAN SALITRILLO,4
SAN SIMON,1
SAN VICENTE,9
SANTA ANA,56
SANTA CATARINA MASAHUAT,1
SANTA CRUZ MICHAPA,4
SANTA ELENA,3
SANTA ISABEL ISHUATAN,2
SANTA MARIA,2
SANTA ROSA DE LIMA,1
SANTA TECLA,37
SANTIAGO DE MARIA,1
SANTIAGO NONUALCO,1
SANTIAGO TEXACUANGOS,1
SANTO DOMINGO,1
SANTO DOMINGO DE GUZMAN,3
SANTO TOMAS,2
SENSUNTEPEQUE,7
SESORI,1
SONSONATE,21
SONZACATE,5
SOYAPANGO,43
SUCHITOTO,5
TACUBA,1
TAMANIQUE,1
TECOLUCA,1
TEJUTLA,4
TENANCINGO,1
TEOTEPEQUE,1
TEPETITAN,1
TONACATEPEQUE,14
TURIN,1
USULUTAN,15
VERAPAZ,1
VICTORIA,2
YAMABAL,2
YAYANTIQUE,2
ZACATECOLUCA,11
ZARAGOZA,4
