MUNICIPIO,CANTIDAD
AHUACHAPAN,27
APANECA,3
ATIQUIZAYA,12
CONCEPCION DE ATACO,3
EL REFUGIO,3
GUAYMANGO,12
JUJUTLA,9
SAN FRANCISCO MENENDEZ,5
SAN LORENZO AH,3
SAN PEDRO PUXTLA,5
TACUBA,4
CINQUERA,2
ILOBASCO,14
JUTIAPA,1
SAN ISIDRO,2
SENSUNTEPEQUE,6
VICTORIA,1
AGUA CALIENTE,3
CHALATENANGO,3
CITALA,2
CONCEPCION QUEZALTEPEQUE,1
DULCE NOMBRE DE MARIA,1
EL PARAISO,2
LA PALMA,3
NUEVA CONCEPCION,9
NUEVA TRINIDAD,2
SAN MIGUEL DE MERCEDES,1
TEJUTLA,1
CANDELARIA,1
COJUTEPEQUE,14
EL CARMEN,4
EL ROSARIO,1
MONTE SAN JUAN,1
ORATORIO DE CONCEPCION,2
SAN BARTOLOME PERULAPIA,3
SAN CRISTOBAL,1
SAN JOSE GUAYABAL,4
SAN PEDRO PERULAPAN,19
SAN RAFAEL CEDROS,5
SANTA CRUZ ANALQUITO,1
SANTA CRUZ MICHAPA,3
SUCHITOTO,4
ANTIGUO CUSCATLAN,8
CHILTIUPAN,3
CIUDAD ARCE,6
COLON,24
COMASAGUA,8
HUIZUCAR,9
JICALAPA,2
LA LIBERTAD,11
QUEZALTEPEQUE,10
SACACOYO,8
SAN JOSE VILLANUEVA,1
SAN JUAN OPICO,20
SAN PABLO TACACHICO,4
SANTA TECLA,10
TALNIQUE,2
TAMANIQUE,2
TEOTEPEQUE,3
TEPECOYO,1
ZARAGOZA,3
EL ROSARIO,1
JERUSALEN,1
OLOCUILTA,4
SAN FRANCISCO CHINAMECA,4
SAN JUAN NONUALCO,4
SAN JUAN TALPA,2
SAN LUIS LA HERRADURA,4
SAN LUIS TALPA,2
SAN PEDRO MASAHUAT,4
SAN RAFAEL OBRAJUELO,3
SANTA MARIA OSTUMA,1
SANTIAGO NONUALCO,7
ZACATECOLUCA,9
ANAMOROS,4
CONCEPCION DE ORIENTE,1
CONCHAGUA,10
EL CARMEN,5
INTIPUCA,6
LA UNION,13
LISLIQUE,2
PASAQUINA,3
POLOROS,2
SAN ALEJO,6
SANTA ROSA DE LIMA,9
YAYANTIQUE,7
CACAOPERA,4
CHILANGA,3
CORINTO,8
DELICIAS DE CONCEPCION,4
EL DIVISADERO,1
GUATAJIAGUA,7
JOCORO,3
OSICALA,1
PERQUIN,1
SAN SIMON,5
SENSEMBRA,3
SOCIEDAD,2
YAMABAL,2
YOLOAIQUIN,1
CAROLINA,2
CHAPELTIQUE,5
CHINAMECA,3
CHIRILAGUA,12
CIUDAD BARRIOS,5
EL TRANSITO,15
LOLOTIQUE,2
MONCAGUA,4
NUEVA GUADALUPE,1
SAN ANTONIO DEL MOSCO,2
SAN JORGE,1
SAN MIGUEL,50
SAN RAFAEL ORIENTE,3
SESORI,1
ULUAZAPA,1
AGUILARES,4
APOPA,45
AYUTUXTEPEQUE,12
CUSCATANCINGO,10
DELGADO,29
EL PAISNAL,11
GUAZAPA,22
ILOPANGO,17
MEJICANOS,22
NEJAPA,9
PANCHIMALCO,14
SAN MARCOS,9
SAN MARTIN,21
SAN SALVADOR,106
SANTIAGO TEXACUANGOS,4
SANTO TOMAS,6
SOYAPANGO,33
TONACATEPEQUE,11
APASTEPEQUE,4
GUADALUPE,1
SAN CAYETANO ISTEPEQUE,2
SAN ESTEBAN CATARINA,2
SAN ILDEFONSO,2
SAN LORENZO,1
SAN SEBASTIAN,1
SAN VICENTE,5
TECOLUCA,11
TEPETITAN,1
VERAPAZ,2
CANDELARIA DE LA FRONTERA,8
CHALCHUAPA,23
COATEPEQUE,17
EL CONGO,9
EL PORVENIR,7
METAPAN,16
SAN ANTONIO PAJONAL,2
SAN SEBASTIAN SALITRILLO,1
SANTA ANA,47
SANTA ROSA GUACHIPILIN,1
TEXISTEPEQUE,3
ACAJUTLA,5
ARMENIA,13
CALUCO,4
IZALCO,17
JUAYUA,5
NAHUIZALCO,10
NAHULINGO,1
SAN ANTONIO DEL MONTE,6
SAN JULIAN,22
SANTA CATARINA MASAHUAT,2
SANTO DOMINGO DE GUZMAN,1
SONSONATE,19
SONZACATE,3
ALEGRIA,2
BERLIN,1
CONCEPCION BATRES,8
EL TRIUNFO,1
EREGUAYQUIN,3
ESTANZUELAS,2
JIQUILISCO,19
JUCUAPA,3
JUCUARAN,7
MERCEDES UMAÑA,6
PUERTO EL TRIUNFO,8
SANTA ELENA,3
SANTA MARIA,1
SANTIAGO DE MARIA,2
TECAPAN,3
USULUTAN,9
