MUNICIPIO,CANTIDAD
ACAJUTLA,21
AGUA CALIENTE,2
AGUILARES,21
AHUACHAPAN,79
ANAMOROS,3
ANTIGUO CUSCATLAN,50
APANECA,2
APASTEPEQUE,9
APOPA,76
ARAMBALA,1
ARMENIA,3
ATIQUIZAYA,17
AYUTUXTEPEQUE,14
BERLIN,9
BOLIVAR,1
CALIFORNIA,2
CALUCO,2
CANDELARIA,2
CANDELARIA DE LA FRONTERA,8
CHALATENANGO,20
CHALCHUAPA,31
CHAPELTIQUE,5
CHILANGA,1
CHILTIUPAN,6
CHINAMECA,6
CINQUERA,2
CIUDAD ARCE,28
CIUDAD BARRIOS,5
CIUDAD DELGADO,42
COATEPEQUE,6
COJUTEPEQUE,76
COLON,75
COMASAGUA,3
CONCEPCION BATRES,3
CONCEPCION DE ATACO,2
CONCEPCION QUEZALTEPEQUE,3
CONCHAGUA,9
CORINTO,5
CUSCATANCINGO,12
CUYULTITAN,5
DELICIAS DE CONCEPCION,2
DOLORES,1
DULCE NOMBRE DE MARIA,1
EL CARMEN (CUSCA),4
EL CARMEN (LA UNION),1
EL CONGO,16
EL DIVISADERO,10
EL PAISNAL,4
EL PARAISO,7
EL REFUGIO,6
EL ROSARIO (CUSCA),1
EL ROSARIO (LA PAZ),13
EL TRANSITO,13
EL TRIUNFO,3
EREGUAYQUIN,1
ESTANZUELAS,3
GUACOTECTI,3
GUADALUPE,1
GUALOCOCTI,1
GUAZAPA,3
HUIZUCAR,4
ILOBASCO,33
ILOPANGO,37
INTIPUCA,4
IZALCO,18
JAYAQUE,1
JIQUILISCO,29
JOATECA,3
JOCOAITIQUE,1
JOCORO,2
JUAYUA,7
JUCUAPA,3
JUCUARAN,6
JUJUTLA,1
JUTIAPA,2
LA LIBERTAD,43
LA PALMA,5
LA REINA,3
LA UNION,29
LAS VUELTAS,1
LOLOTIQUE,7
MEANGUERA,2
MEJICANOS,69
MERCEDES UMAÑA,3
METAPAN,16
MONCAGUA,5
MONTE SAN JUAN,1
NAHUIZALCO,12
NAHULINGO,7
NEJAPA,22
NOMBRE DE JESUS,3
NUEVA CONCEPCION,28
NUEVA GRANADA,2
NUEVA GUADALUPE,3
NUEVA TRINIDAD,1
NUEVO CUSCATLAN,5
OJOS DE AGUA,3
OLOCUILTA,10
ORATORIO DE CONCEPCION,1
OZATLAN,4
PANCHIMALCO,7
PARAISO DE OSORIO,2
PASAQUINA,6
PUERTO EL TRIUNFO,1
QUEZALTEPEQUE,54
ROSARIO DE MORA,3
SACACOYO,8
SALCOATITAN,1
SAN AGUSTIN,3
SAN ALEJO,5
SAN ANTONIO DEL MONTE,6
SAN ANTONIO PAJONAL,1
SAN BARTOLOME PERULAPIA,3
SAN CARLOS,3
SAN CAYETANO ISTEPEQUE,4
SAN CRISTOBAL,1
SAN DIONISIO,1
SAN FRANCISCO CHINAMECA,1
SAN FRANCISCO GOTERA,27
SAN FRANCISCO JAVIER,2
SAN FRANCISCO LEMPA,1
SAN FRANCISCO MENENDEZ,10
SAN FRANCISCO MORAZAN,1
SAN IGNACIO,4
SAN ILDEFONSO,1
SAN ISIDRO (CABAÑAS),2
SAN JORGE,1
SAN JOSE GUAYABAL,1
SAN JOSE LAS FLORES,1
SAN JOSE VILLANUEVA,3
SAN JUAN NONUALCO,11
SAN JUAN OPICO,53
SAN JUAN TALPA,5
SAN JULIAN,2
SAN LORENZO (SV),4
SAN LUIS LA HERRADURA,9
SAN LUIS TALPA,14
SAN MARCOS,34
SAN MARTIN,40
SAN MATIAS,1
SAN MIGUEL,162
SAN MIGUEL DE MERCEDES,4
SAN PABLO TACACHICO,7
SAN PEDRO MASAHUAT,8
SAN PEDRO NONUALCO,3
SAN PEDRO PERULAPAN,31
SAN PEDRO PUXTLA,1
SAN RAFAEL,5
SAN RAFAEL CEDROS,18
SAN RAFAEL OBRAJUELO,6
SAN RAFAEL ORIENTE,2
SAN RAMON,1
SAN SALVADOR,487
SAN SEBASTIAN,8
SAN SEBASTIAN SALITRILLO,5
SAN SIMON,1
SAN VICENTE,35
SANTA ANA,198
SANTA CLARA,2
SANTA CRUZ MICHAPA,15
SANTA ELENA,7
SANTA MARIA,4
SANTA MARIA OSTUMA,1
SANTA RITA,3
SANTA ROSA DE LIMA,20
SANTA TECLA,178
SANTIAGO DE LA FRONTERA,1
SANTIAGO DE MARIA,8
SANTIAGO NONUALCO,18
SANTO DOMINGO,4
SANTO TOMAS,7
SENSUNTEPEQUE,10
SONSONATE,69
SONZACATE,12
SOYAPANGO,90
SUCHITOTO,13
TACUBA,4
TALNIQUE,1
TAMANIQUE,4
TECAPAN,1
TECOLUCA,14
TEJUTEPEQUE,2
TEJUTLA,10
TEOTEPEQUE,4
TEPECOYO,1
TEXISTEPEQUE,5
TONACATEPEQUE,12
TOROLA,2
TURIN,3
ULUAZAPA,1
USULUTAN,75
VERAPAZ,4
VICTORIA,1
YOLOAIQUIN,2
ZACATECOLUCA,41
ZARAGOZA,24
