nombre_gym,dpto,lat,lon
Abrego Gym,CHALATENANGO,14.155425024956077,-89.01782264155523
Energym,CHALATENANGO,14.090423323594887,-88.95605129829406
Gimnasio Monge,CHALATENANGO,14.0795129812735,-88.9750382722403
Asociación comunal Tamarindo,CHALATENANGO,14.02686668189749,-88.88389910783242
Gimnasio y Polideportivo De San Antionio Los Ranchos,CHALATENANGO,14.0155041693729,-88.89590170230191
Smartfitness,CHALATENANGO,14.043324283747658,-88.93670372539032
Fitness Center,CHALATENANGO,14.043720355487215,-88.94129717707006
Bros Gym,CHALATENANGO,14.042234987497604,-88.93461117128447
Black Scorpion Chalatenango,CHALATENANGO,14.041343756308617,-88.93624438312058
Fibra Gym,CHALATENANGO,14.041294232912248,-88.9388983385735
Cancha El Chilamate,CHALATENANGO,14.11338716499659,-89.00218677900443
Cancha de Futbol San Fernando Viejo,CHALATENANGO,14.315281800481062,-89.02339523351473
Cancha de Futbol Cantón Las Granadillas,CHALATENANGO,14.363766616836251,-89.08348210073812
Cancha de Futbol El Trapichito,CHALATENANGO,13.77893489340500,-87.83018130532700
Strong Gym,LA UNION,13.64077699983604,-87.88474635219087
PowerGym,LA UNION,13.595478638436786,-87.83477810122216
Cancha Los Morenos,LA UNION,13.56665567038539,-87.92733683306771
Cancha CD Atlas,LA UNION,13.437260762671508,-87.96307107611676
Campo El Milán,LA UNION,13.424420886866805,-87.93695842323669
Estadio Agua Fría,LA UNION,13.413659329208622,-87.94228425446465
GyM Luce Roca Benitez,LA UNION,13.390357035539159,-88.02142179995815
Campo El Jicaro,LA UNION,13.346829669773443,-87.9417142514671
Parque INDES,LA UNION,13.341830936914166,-87.84271815586796
Bull Gym,LA UNION,13.343437932500503,-87.8465214228646
Gimnasio Municipal El Rápido,LA UNION,13.33710633541281,-87.843811566315
Cancha Municipal Borromeo,LA UNION,13.2941406234195,-87.86966323592507
Cancha de Fútbol La Billal,LA UNION,13.222063807865318,-87.98945318902962
Body Power Gym,SAN VICENTE,13.72935214453330,-88.81034905776740
Cancha de San José Cerro Grande,SAN VICENTE,13.672217450855966,-88.80485996797675
Cancha Sintética,SAN VICENTE,13.67981419252540,-88.76664897751420
Titanic Gym,SAN VICENTE,13.647786002286637,-88.78264581983113
Indes,SAN VICENTE,13.645891941352366,-88.77809855314764
Crossfit Elite SV,SAN VICENTE,13.644629615860854,-88.78401744097917
Titanic Gym 2,SAN VICENTE,13.643717818384918,-88.78574978900471
Gym Maya,SAN VICENTE,13.641329804859987,-88.78755272991457
Unidad Médica Física y de rehabilitación ISSS,SAN VICENTE,13.641742647544861,-88.78809903385785
Cancha de Fútbol Sala,SAN VICENTE,13.579274812748924,-88.78272713901828
Cancha de Fútbol de Las Lajas,SAN VICENTE,13.66207629653240,-88.56311385665260
