nombre_gym	telefono_gym	direccion	depto	lat	lon
Coliseo Gym	+503 2315 2987	1a. Calle Poniente, RN-8N, Sensuntepeque	CABAÑAS	-88.6277348	13.8767487
The Brother's Gym	-	Col El Cocal, Sensuntepeque	CABAÑAS	-88.6340794	13.8751578
Alfaro Gym	-	Barrio El Calvario, Sensuntepeque	CABAÑAS	-88.6292356	13.8737449
Complejo Polideportivo de Sensuntepeque	-	Sensuntepeque	CABAÑAS	-88.6196968	13.8739519
Estadio Polideportivo	-	Sensuntepeque	CABAÑAS	-88.6185443	13.874085
Body Power Ilobasco	-	Ilobasco	CABAÑAS	-88.8504564	13.8425023
Gimnasio Nueva Figura	-	Ilobasco	CABAÑAS	-88.8503435	13.8404759
Fitclub	-	8a Avenida Norte, Ilobasco	CABAÑAS	-88.847103	13.843677
GIMNASIO CHAMPION	-	8A Calle Oriente, Cojutepeque	CABAÑAS	-88.9322652	13.7177692
Zona Gym Cojutepeque	-	Cojutepeque	CABAÑAS	-88.9512133	13.7267459
