nombre_gym;telefono_gym;direccion;depto;x;y
Silver Gym, Usulután;-;2a Calle Pte, Usulután;Usulutan;-88.4404055;13.3454407
Shulton Park;-;Usulután;Usulutan;-88.431235;13.348442
INDES;-;Usulután;Usulutan;-88.431303;13.3474264
Fitness Girls Gym;+503 2618 2401;6a Calle Ote, Usulután;Usulutan;-88.4375354;13.3465199
Maximus Gym;-;Usulután;Usulutan;-88.438892;13.3457376
Alfa Gym;-;Bo Candelaria, CP 3401, Avenida Gregorio Melara #26, Usulután CP 3401;Usulutan;-88.4393081;13.3424043
Fitness Girls Gym;+503 7964 2244;Residencial Alejandria block 1, Usulután;Usulutan;-88.4290809;13.3484144
Hulk Gym;-;Jiquilisco;Usulutan;-88.5713533;13.324582
La Disco Gym;-;1a Avenida Sur, Santa Maria;Usulutan;-88.4166716;13.3468542
ALFA GYM (fitness & aerobic);-;Bo Candelaria, Avenida Gregorio Melara #26, Usulután CP 3401;Usulutan;-88.4403285;13.3423535
Apolo GYM;-;6a Avenida Nte, Santiago de María;Usulutan;-88.4646298;13.4821638
Body Gym;-;Barrio Concepcion pasaje Lempira 20 Metros de Plaza Monseñor Romero, Jucuapa;Usulutan;-88.3861163;13.5178433
Gimnasio Colato;-;Jucuapa;Usulutan;-88.3833438;13.5130619
Silver Gym;-;Jucuapa;Usulutan;-88.3824453;13.5166537
PLATINUM GYM;+503 7959 4611;Calle Ricardo Alfonso Araujo, Jucuapa;Usulutan;-88.3833227;13.5128464
ELIZ GYM;-;El Triunfo, El Triunfo;Usulutan;-88.432044;13.5591547
