nombre_club_natacion;telefono_club_natacion;direccion;depto;x;y
Club de Natación Flor Blanca;+503 2502 4220;San Salvador;San Salvador;-89.2160071;13.6974367
Aqua Center;+503 2263 8797;Calle La Mascota y Calle N4 Colonia, San Salvador;San Salvador;-89.2402301;13.6986986
Club de Natación Zeus.;+503 7649 0591;Colonia Satélite final calle Constitución #4 X, San Salvador;San Salvador;-89.2124766;13.7242307
Splash KIDS;+503 2564 2913;Avenida El Almendro 20-a Colonia Maquilishuat San Salvador, San Salvador;San Salvador;-89.2454081;13.7004657
Piscina Olímpica, Estadio Mágico González;+503 2512 6748;Colonia Flor Blanca, San Salvador;San Salvador;-89.2160667;13.6973792
COLPROCE;+503 2273 4105;Av. Albert Einstein Block C #19,, San Salvador;San Salvador;-89.2324635;13.6824461
Circulo Deportivo Internacional;+503 2528 3700;Alameda Manuel Enrique Araujo & Calle Lorena, San Salvador;San Salvador;-89.227388;13.695425
Clases de natación y futbol;+503 7880 4527;San Salvador;San Salvador;-89.2317941;13.7075162
Hidronasia;+503 2284 1239;Calle Motocross No 95, San Salvador;San Salvador;-89.2266616;13.7258396
Instituto Técnico Ricaldone;+503 2234 6000;Avenida Aguilares 218 San Salvador CP, San Salvador 1101;San Salvador;-89.2049171;13.7237487
Colegio Cristóbal Colón;+503 2225 2320;Av C #125, San Salvador;San Salvador;-89.2098615;13.7151482
Parque Colonia Ciudad Satelite;+503 2511 6000 ext. 1378;Avenida Washington, San Salvador;San Salvador;-89.216165;13.7215819
Centro Cultural FUSALMO;+503 2259 2038;Ciudadela Don Bosco, km 1 1/2, Calle al Plan del Pino Soyapango, San Salvador Soyapango San Salvador CP, 1116;San Salvador;-89.1511306;13.7177572
Polideportivo Jardines de San Marcos;-;San Marcos;San Salvador;-89.1886139;13.6632298
Polideportivo Nejapa Vitoria Gasteiz;+503 2201 0178;Avenida Concepcion Norte, Nejapa;San Salvador;-89.2283591;13.8174559
Polideportivo Don Bosco;+503 2259 2000;Calle A Tonacatepeque, San Salvador;San Salvador;-89.1403627;13.7174357
Polideportivo De Tonacatepeque;-;Tonacatepeque;San Salvador;-89.1200005;13.7830319
Apulo piscina;-;Calle A Corinto, San Salvador;San Salvador;-89.0760692;13.7022335
Club Salvadoreño Corinto;+503 2304 0195;San Salvador;San Salvador;-89.0522361;13.7055325
Club Círculo Militar, El Salvador;+503 2555 5000;Km. 5 1/2 carretera Santa Tecla, Av. Las Mercedes. San Salvador, San Salvador;San Salvador;-89.2308044;13.6892404
