MUNICIPIO,HOMICIDIO,FALLECIDOS_ACC_TTO,HURTO,SECUESTRO,VIOLACION
AHUACHAPAN,3,1,8,0,2
APANECA,0,0,0,0,1
ATIQUIZAYA,1,3,0,0,2
GUAYMANGO,1,0,0,0,0
JUJUTLA,0,0,1,0,0
SAN FRANCISCO MENENDEZ,0,1,2,0,4
SAN LORENZO,2,0,0,0,0
SAN PEDRO PUXTLA,0,0,1,0,0
TACUBA,1,0,0,0,0
TURIN,1,0,0,0,1
DOLORES,0,0,1,0,0
GUACOTECTI,1,0,1,0,1
ILOBASCO,3,3,6,0,1
JUTIAPA,0,0,2,0,0
SENSUNTEPEQUE,0,0,1,0,0
TEJUTEPEQUE,0,0,1,0,1
ARCATAO,0,0,0,0,0
CHALATENANGO,3,1,2,0,1
CONCEPCION QUEZALTEPEQUE,0,0,1,0,0
EL PARAISO,0,0,1,0,0
LA PALMA,0,0,3,0,1
LA REINA,0,0,1,0,0
LAS VUELTAS,0,0,1,0,0
NOMBRE DE JESUS,0,0,2,0,0
NUEVA CONCEPCION,0,0,5,0,1
SAN FRANCISCO MORAZAN,0,0,0,0,1
SAN IGNACIO,0,0,1,0,0
SAN JOSE LAS FLORES,0,0,1,0,0
SAN MIGUEL DE MERCEDES,0,0,1,0,1
SAN RAFAEL,0,1,0,0,0
TEJUTLA,0,0,2,0,1
CANDELARIA,0,0,1,0,0
COJUTEPEQUE,1,0,9,0,1
EL CARMEN,0,0,0,0,0
SAN BARTOLOME PERULAPIA,1,1,0,0,0
SAN CRISTOBAL,0,0,0,0,1
SAN JOSE GUAYABAL,0,0,0,0,0
SAN PEDRO PERULAPAN,3,1,1,0,2
SAN RAFAEL CEDROS,0,3,1,0,2
SANTA CRUZ MICHAPA,0,0,4,0,3
SUCHITOTO,2,2,4,0,1
TENANCINGO,0,0,0,0,1
ANTIGUO CUSCATLAN,0,1,8,0,0
CHILTIUPAN,0,1,1,0,0
CIUDAD ARCE,0,0,2,0,1
COLON,2,3,12,0,3
COMASAGUA,0,0,1,0,0
HUIZUCAR,0,0,1,0,0
JAYAQUE,1,0,0,0,0
JICALAPA,0,0,0,0,1
LA LIBERTAD,1,2,5,0,4
NUEVO CUSCATLAN,0,0,2,0,0
QUEZALTEPEQUE,0,3,10,1,2
SACACOYO,1,0,1,0,2
SAN JOSE VILLANUEVA,1,0,0,0,1
SAN JUAN OPICO,2,1,3,0,2
SAN MATIAS,0,0,1,0,3
SAN PABLO TACACHICO,0,0,4,0,0
SANTA TECLA,1,1,28,0,3
TALNIQUE,0,0,0,0,0
TAMANIQUE,0,2,0,0,1
TEOTEPEQUE,0,1,1,0,0
TEPECOYO,0,0,1,0,1
ZARAGOZA,0,0,0,0,0
CUYULTITAN,0,1,0,0,0
