nombre_gym,telefono_gym,depto,muni,lat,lon
Gimnasio SuperFitness IVU,2414-7289,Santa Ana,--,13.9999771286035,-89.5560774205335
Gimnasio “Los pinos”,--,Santa Ana,--,13.9987361236348,-89.5497324769031
Super Fitness Gym,7700-7700,Santa Ana,--,13.9970831217558,-89.5574554218566
Iron Body Gym,--,Santa Ana,--,13.9955403092765,-89.5519660737279
Gimnasio Golden,7559-7044,Santa Ana,--,13.9943556426661,-89.5542469925193
Crosstraining Gym,7722-2246,Santa Ana,--,13.9938138163679,-89.5654055122499
Gimnasio David Vega,--,Santa Ana,--,13.992124044729,-89.5450381378057
VIP FITNESS,2441-3727,Santa Ana,--,13.988928138364,-89.5554111128947
Dynamic Strength Gym,--,Santa Ana,--,13.9883817074317,-89.5538542201905
Body Flex Gym,--,Santa Ana,--,13.9873347604377,-89.559118788982
Nuevo gimnasio,--,Santa Ana,--,13.6977103670002,-89.1228657693115
